iter	Passed	Remaining
0	3	301
1	6	297
2	8	287
3	11	270
4	14	267
5	16	262
6	19	262
7	22	260
8	25	258
9	28	256
10	31	253
11	34	250
12	36	247
13	39	244
14	42	241
15	45	236
16	47	231
17	49	227
18	52	223
19	54	218
20	57	215
21	60	213
22	62	209
23	64	205
24	67	201
25	69	197
26	71	194
27	74	191
28	76	187
29	79	184
30	81	181
31	83	178
32	86	175
33	88	172
34	91	169
35	93	166
36	96	164
37	98	161
38	101	158
39	103	155
40	106	153
41	107	148
42	109	145
43	111	142
44	113	139
45	115	135
46	116	131
47	118	128
48	120	125
49	121	121
50	123	118
51	124	115
52	126	111
53	127	108
54	128	104
55	129	101
56	130	98
57	131	95
58	133	92
59	134	89
60	135	86
61	136	83
62	137	81
63	139	78
64	140	75
65	141	73
66	143	70
67	144	67
68	145	65
69	146	62
70	148	60
71	149	58
72	150	55
73	151	53
74	152	50
75	154	48
76	155	46
77	156	44
78	157	41
79	159	39
80	160	37
81	161	35
82	162	33
83	164	31
84	165	29
85	166	27
86	167	25
87	169	23
88	170	21
89	171	19
90	172	17
91	174	15
92	175	13
93	176	11
94	178	9
95	179	7
96	180	5
97	181	3
98	182	1
99	184	0
