iter	Passed	Remaining
0	168	168283
1	173	86796
2	178	59308
3	183	45759
4	188	37467
5	192	31874
6	197	28041
7	202	25105
8	207	22811
9	211	20981
10	217	19521
11	221	18219
12	225	17157
13	231	16286
14	235	15465
15	240	14769
16	245	14196
17	250	13652
18	254	13146
19	259	12705
20	264	12311
21	268	11953
22	273	11621
23	278	11331
24	282	11036
25	287	10761
26	292	10523
27	296	10288
28	301	10086
29	304	9850
30	307	9608
31	310	9382
32	312	9153
33	314	8933
34	316	8729
35	318	8537
36	320	8339
37	322	8152
38	323	7973
39	325	7806
40	326	7644
41	328	7483
42	329	7329
43	330	7182
44	332	7048
45	333	6917
46	334	6785
47	335	6657
48	336	6536
49	337	6421
50	339	6308
51	340	6201
52	341	6098
53	342	5997
54	343	5899
55	344	5804
56	345	5711
57	346	5627
58	349	5572
59	350	5489
60	351	5408
61	352	5330
62	353	5255
63	354	5182
64	355	5112
65	356	5042
66	357	4974
67	358	4908
68	359	4845
69	360	4784
70	362	4743
71	363	4687
72	364	4631
73	365	4575
74	366	4522
75	367	4469
76	368	4417
77	369	4367
78	370	4319
79	371	4271
80	372	4224
81	373	4180
82	374	4135
83	375	4094
84	377	4068
85	379	4030
86	380	3991
87	381	3957
88	382	3920
89	383	3882
90	384	3845
91	385	3808
92	386	3773
93	387	3738
94	389	3705
95	390	3672
96	390	3639
97	391	3607
98	392	3576
99	393	3545
100	394	3514
101	395	3485
102	396	3455
103	397	3426
104	398	3398
105	399	3370
106	400	3343
107	401	3316
108	402	3290
109	406	3286
110	410	3287
111	413	3282
112	416	3269
113	419	3258
114	422	3248
115	424	3231
116	425	3212
117	427	3197
118	429	3181
119	431	3163
120	433	3147
121	434	3129
122	436	3114
123	437	3093
124	439	3073
125	440	3054
126	441	3033
127	442	3014
128	443	2996
129	445	2979
130	446	2960
131	447	2941
132	448	2923
133	450	2908
134	451	2890
135	452	2873
136	453	2855
137	454	2837
138	455	2819
139	456	2801
140	457	2784
141	457	2765
142	458	2748
143	459	2732
144	460	2716
145	463	2713
146	469	2722
147	470	2708
148	471	2693
149	472	2678
150	473	2663
151	474	2649
152	475	2634
153	476	2619
154	477	2605
155	479	2592
156	480	2577
157	481	2563
158	482	2550
159	483	2537
160	484	2522
161	485	2509
162	486	2496
163	487	2482
164	488	2469
165	489	2457
166	490	2444
167	491	2431
168	492	2419
169	493	2407
170	495	2400
171	496	2392
172	498	2380
173	499	2369
174	500	2357
175	501	2345
176	502	2334
177	502	2322
178	504	2311
179	504	2300
180	505	2289
181	507	2278
182	508	2270
183	509	2261
184	511	2251
185	512	2240
186	513	2230
187	514	2220
188	515	2210
189	516	2200
190	517	2190
191	518	2180
192	519	2170
193	520	2161
194	521	2151
195	522	2141
196	523	2133
197	524	2124
198	525	2116
199	526	2107
200	527	2098
201	528	2089
202	529	2080
203	530	2071
204	531	2062
205	532	2053
206	533	2045
207	535	2037
208	536	2029
209	537	2020
210	538	2013
211	541	2011
212	546	2017
213	550	2020
214	553	2019
215	556	2019
216	558	2015
217	560	2010
218	562	2005
219	564	2002
220	566	1997
221	568	1992
222	570	1986
223	571	1981
224	573	1976
225	575	1970
226	576	1964
227	578	1957
228	579	1950
229	580	1944
230	582	1937
231	583	1931
232	584	1925
233	585	1918
234	587	1911
235	588	1904
236	589	1897
237	590	1889
238	591	1882
239	594	1883
240	598	1883
241	599	1877
242	601	1874
243	602	1867
244	603	1860
245	604	1853
246	605	1847
247	607	1840
248	608	1833
249	609	1827
250	610	1820
251	611	1814
252	612	1808
253	613	1802
254	615	1797
255	616	1791
256	617	1784
257	618	1778
258	619	1772
259	620	1765
260	621	1759
261	622	1753
262	623	1747
263	624	1741
264	625	1735
265	626	1729
266	627	1723
267	629	1718
268	630	1712
269	631	1706
270	632	1700
271	633	1694
272	634	1688
273	635	1682
274	636	1676
275	636	1670
276	637	1664
277	638	1659
278	639	1653
279	640	1647
280	641	1641
281	647	1649
282	652	1653
283	656	1654
284	659	1654
285	662	1653
286	664	1650
287	666	1648
288	668	1645
289	670	1642
290	672	1638
291	674	1636
292	676	1633
293	678	1629
294	679	1624
295	681	1619
296	682	1615
297	683	1610
298	685	1606
299	686	1601
300	687	1597
301	689	1592
302	690	1587
303	691	1582
304	692	1577
305	693	1572
306	694	1567
307	695	1562
308	696	1557
309	697	1552
310	698	1547
311	699	1542
312	700	1536
313	701	1531
314	702	1526
315	703	1523
316	708	1527
317	712	1528
318	715	1527
319	718	1526
320	720	1524
321	722	1521
322	724	1519
323	726	1516
324	728	1513
325	730	1509
326	731	1506
327	733	1503
328	735	1500
329	736	1495
330	738	1491
331	739	1487
332	740	1483
333	741	1479
334	743	1475
335	744	1471
336	745	1467
337	747	1463
338	748	1460
339	750	1456
340	751	1451
341	752	1447
342	753	1442
343	754	1438
344	755	1433
345	756	1429
346	757	1424
347	758	1420
348	759	1415
349	759	1411
350	760	1406
351	761	1402
352	766	1404
353	767	1400
354	768	1396
355	769	1392
356	771	1388
357	772	1384
358	773	1380
359	774	1376
360	775	1371
361	776	1367
362	777	1363
363	780	1362
364	781	1358
365	782	1354
366	783	1350
367	784	1346
368	785	1342
369	786	1338
370	787	1334
371	788	1330
372	789	1326
373	790	1322
374	791	1318
375	794	1318
376	795	1314
377	796	1310
378	797	1307
379	798	1303
380	799	1299
381	800	1295
382	801	1291
383	802	1287
384	803	1283
385	804	1280
386	805	1276
387	807	1273
388	808	1269
389	809	1265
390	810	1262
391	811	1258
392	812	1254
393	813	1251
394	814	1247
395	815	1244
396	816	1240
397	817	1236
398	818	1233
399	819	1229
400	820	1226
401	822	1222
402	823	1220
403	824	1216
404	825	1212
405	826	1209
406	827	1205
407	828	1201
408	829	1198
409	830	1194
410	831	1191
411	832	1187
412	833	1184
413	834	1180
414	834	1176
415	835	1173
416	842	1177
417	846	1178
418	850	1178
419	853	1178
420	856	1177
421	858	1175
422	860	1173
423	862	1172
424	864	1169
425	866	1167
426	868	1165
427	870	1162
428	871	1160
429	873	1157
430	874	1154
431	875	1151
432	876	1148
433	878	1145
434	879	1142
435	880	1139
436	882	1136
437	883	1133
438	884	1130
439	885	1127
440	886	1124
441	887	1121
442	889	1117
443	889	1114
444	890	1111
445	891	1107
446	892	1104
447	893	1101
448	894	1097
449	897	1096
450	902	1098
451	905	1098
452	908	1097
453	911	1096
454	914	1095
455	917	1094
456	919	1092
457	921	1090
458	922	1087
459	924	1085
460	925	1082
461	927	1080
462	929	1078
463	930	1075
464	932	1072
465	933	1069
466	934	1066
467	935	1063
468	936	1060
469	938	1057
470	939	1054
471	940	1051
472	941	1048
473	943	1046
474	944	1043
475	945	1040
476	946	1037
477	947	1034
478	948	1031
479	948	1027
480	949	1024
481	950	1021
482	951	1018
483	952	1015
484	953	1012
485	956	1011
486	960	1011
487	961	1008
488	962	1005
489	963	1002
490	964	999
491	965	997
492	966	994
493	967	991
494	968	988
495	969	985
496	970	982
497	971	979
498	973	977
499	974	974
500	975	971
501	976	968
502	977	965
503	977	962
504	978	959
505	979	956
506	980	953
507	981	950
508	982	948
509	983	945
510	984	942
511	985	939
512	989	939
513	990	936
514	991	933
515	992	930
516	993	928
517	994	925
518	995	922
519	996	919
520	997	917
521	998	914
522	999	911
523	1000	908
524	1001	906
525	1003	904
526	1004	901
527	1005	899
528	1006	896
529	1007	893
530	1008	891
531	1009	888
532	1011	885
533	1012	883
534	1013	880
535	1014	878
536	1015	875
537	1016	873
538	1017	870
539	1019	868
540	1020	865
541	1021	863
542	1022	860
543	1023	857
544	1024	855
545	1025	852
546	1026	850
547	1027	847
548	1028	845
549	1030	842
550	1031	840
551	1033	838
552	1034	836
553	1035	833
554	1036	831
555	1038	828
556	1039	826
557	1040	823
558	1041	821
559	1042	818
560	1043	816
561	1044	813
562	1045	811
563	1046	808
564	1047	806
565	1048	803
566	1049	801
567	1050	798
568	1051	796
569	1052	794
570	1053	791
571	1054	789
572	1055	786
573	1056	784
574	1057	781
575	1058	779
576	1059	776
577	1060	774
578	1061	772
579	1065	771
580	1066	769
581	1067	766
582	1068	764
583	1069	761
584	1070	759
585	1071	756
586	1072	754
587	1073	752
588	1074	749
589	1075	747
590	1076	745
591	1077	742
592	1079	740
593	1080	738
594	1081	735
595	1082	733
596	1083	731
597	1083	728
598	1084	726
599	1085	723
600	1086	721
601	1087	719
602	1088	716
603	1089	714
604	1090	712
605	1094	711
606	1099	711
607	1101	710
608	1104	709
609	1107	707
610	1109	706
611	1112	705
612	1114	703
613	1116	701
614	1117	699
615	1119	697
616	1120	695
617	1123	694
618	1125	692
619	1126	690
620	1127	688
621	1129	686
622	1130	684
623	1131	681
624	1132	679
625	1133	677
626	1134	675
627	1136	672
628	1137	670
629	1138	668
630	1139	666
631	1140	664
632	1141	662
633	1142	659
634	1143	657
635	1144	655
636	1145	652
637	1146	650
638	1147	648
639	1148	646
640	1149	643
641	1153	643
642	1154	641
643	1155	638
644	1156	636
645	1157	634
646	1158	632
647	1159	630
648	1160	627
649	1161	625
650	1162	623
651	1163	621
652	1164	619
653	1165	616
654	1167	614
655	1168	612
656	1169	610
657	1170	608
658	1171	606
659	1172	603
660	1173	601
661	1174	599
662	1175	597
663	1176	595
664	1177	593
665	1178	590
666	1183	590
667	1188	590
668	1191	589
669	1193	588
670	1196	586
671	1198	585
672	1200	583
673	1203	581
674	1205	580
675	1206	578
676	1208	576
677	1210	574
678	1211	572
679	1213	571
680	1214	569
681	1216	567
682	1217	565
683	1218	563
684	1219	560
685	1221	558
686	1222	556
687	1223	554
688	1224	552
689	1225	550
690	1226	548
691	1228	546
692	1229	544
693	1230	542
694	1231	540
695	1232	538
696	1232	536
697	1233	533
698	1234	531
699	1235	529
700	1236	527
701	1238	525
702	1244	525
703	1248	525
704	1252	524
705	1256	523
706	1259	521
707	1262	520
708	1264	518
709	1266	517
710	1268	515
711	1269	513
712	1271	511
713	1273	510
714	1275	508
715	1276	506
716	1278	504
717	1279	502
718	1280	500
719	1281	498
720	1283	496
721	1284	494
722	1285	492
723	1286	490
724	1288	488
725	1289	486
726	1290	484
727	1291	482
728	1292	480
729	1293	478
730	1294	476
731	1295	474
732	1296	472
733	1297	470
734	1297	467
735	1298	465
736	1299	463
737	1300	461
738	1304	460
739	1306	458
740	1307	456
741	1308	454
742	1309	452
743	1310	450
744	1311	448
745	1312	446
746	1313	444
747	1314	442
748	1316	441
749	1321	440
750	1325	439
751	1327	437
752	1330	436
753	1333	435
754	1335	433
755	1337	431
756	1339	430
757	1341	428
758	1343	426
759	1345	424
760	1346	422
761	1348	421
762	1349	419
763	1350	417
764	1352	415
765	1353	413
766	1354	411
767	1355	409
768	1356	407
769	1357	405
770	1359	403
771	1360	401
772	1361	399
773	1362	397
774	1363	395
775	1364	393
776	1365	391
777	1366	389
778	1367	387
779	1368	385
780	1369	383
781	1370	381
782	1371	379
783	1372	378
784	1373	376
785	1378	375
786	1383	374
787	1387	373
788	1390	371
789	1393	370
790	1396	368
791	1398	367
792	1400	365
793	1402	363
794	1404	362
795	1406	360
796	1407	358
797	1409	356
798	1411	354
799	1412	353
800	1413	351
801	1415	349
802	1416	347
803	1417	345
804	1418	343
805	1420	341
806	1421	339
807	1422	338
808	1423	336
809	1425	334
810	1426	332
811	1427	330
812	1428	328
813	1429	326
814	1430	324
815	1431	322
816	1432	320
817	1433	318
818	1436	317
819	1441	316
820	1445	315
821	1448	313
822	1451	312
823	1454	310
824	1456	308
825	1458	307
826	1460	305
827	1462	303
828	1463	301
829	1466	300
830	1467	298
831	1469	296
832	1470	294
833	1471	292
834	1473	291
835	1474	289
836	1476	287
837	1477	285
838	1478	283
839	1479	281
840	1481	280
841	1482	278
842	1483	276
843	1484	274
844	1485	272
845	1486	270
846	1488	268
847	1489	266
848	1490	265
849	1491	263
850	1492	261
851	1495	259
852	1496	257
853	1497	255
854	1498	254
855	1499	252
856	1500	250
857	1501	248
858	1502	246
859	1503	244
860	1504	242
861	1505	240
862	1506	239
863	1507	237
864	1511	235
865	1516	234
866	1519	233
867	1522	231
868	1525	229
869	1527	228
870	1530	226
871	1531	224
872	1533	223
873	1535	221
874	1537	219
875	1539	217
876	1540	216
877	1542	214
878	1543	212
879	1544	210
880	1545	208
881	1547	206
882	1548	205
883	1549	203
884	1550	201
885	1551	199
886	1552	197
887	1554	196
888	1555	194
889	1556	192
890	1557	190
891	1558	188
892	1559	186
893	1560	185
894	1561	183
895	1562	181
896	1563	179
897	1564	177
898	1565	175
899	1568	174
900	1569	172
901	1571	170
902	1572	168
903	1573	167
904	1574	165
905	1575	163
906	1576	161
907	1577	159
908	1578	158
909	1579	156
910	1580	154
911	1581	152
912	1582	150
913	1584	149
914	1585	147
915	1586	145
916	1587	143
917	1588	141
918	1589	140
919	1590	138
920	1591	136
921	1591	134
922	1592	132
923	1593	131
924	1594	129
925	1595	127
926	1597	125
927	1602	124
928	1606	122
929	1609	121
930	1612	119
931	1615	117
932	1617	116
933	1619	114
934	1621	112
935	1623	110
936	1624	109
937	1626	107
938	1628	105
939	1630	104
940	1631	102
941	1633	100
942	1634	98
943	1635	97
944	1636	95
945	1637	93
946	1639	91
947	1640	89
948	1641	88
949	1642	86
950	1643	84
951	1644	82
952	1645	81
953	1646	79
954	1647	77
955	1648	75
956	1649	74
957	1650	72
958	1651	70
959	1652	68
960	1653	67
961	1655	65
962	1660	63
963	1661	62
964	1662	60
965	1663	58
966	1664	56
967	1665	55
968	1666	53
969	1667	51
970	1668	49
971	1669	48
972	1670	46
973	1671	44
974	1673	42
975	1674	41
976	1675	39
977	1676	37
978	1676	35
979	1677	34
980	1678	32
981	1679	30
982	1680	29
983	1681	27
984	1682	25
985	1683	23
986	1684	22
987	1686	20
988	1690	18
989	1691	17
990	1692	15
991	1693	13
992	1694	11
993	1695	10
994	1696	8
995	1697	6
996	1698	5
997	1699	3
998	1701	1
999	1702	0
